ORDERID;CUSTOMERID;PRODUCTID;QUANTITY;ORDERDATE;PRODUCTID;PRODUCTNAME;PRICE
1;1251;2014;10;2023/06/10;2014;Product_2014;522
2;1236;2004;5;2023/12/07;2004;Product_2004;1996
3;1170;2171;9;2024/10/26;2171;Product_2171;76
4;1344;2007;2;2023/02/17;2007;Product_2007;156
5;1319;2061;2;2024/11/06;2061;Product_2061;1595
6;1185;2190;3;2024/11/23;2190;Product_2190;1755
7;1011;2099;8;2023/07/29;2099;Product_2099;1674
8;1322;2078;7;2023/12/06;2078;Product_2078;333
9;1224;2043;7;2025/01/25;2043;Product_2043;1947
10;1010;2141;3;2023/07/19;2141;Product_2141;1599
11;1324;2090;1;2024/11/21;2090;Product_2090;1662
12;1248;2115;6;2023/06/19;2115;Product_2115;1585
13;1315;2060;10;2023/04/04;2060;Product_2060;103
14;1348;2144;7;2024/11/26;2144;Product_2144;1284
15;1310;2105;5;2023/02/23;2105;Product_2105;1284
16;1219;2082;3;2024/04/15;2082;Product_2082;500
17;1199;2047;5;2024/04/29;2047;Product_2047;255
18;1191;2101;7;2023/05/12;2101;Product_2101;1847
19;1364;2074;7;2024/11/12;2074;Product_2074;485
20;1333;2117;1;2023/06/08;2117;Product_2117;1427
21;1269;2119;8;2023/08/14;2119;Product_2119;541
22;1082;2053;9;2024/06/12;2053;Product_2053;1746
23;1128;2075;5;2023/09/17;2075;Product_2075;667
24;1181;2159;3;2023/07/20;2159;Product_2159;582
25;1260;2124;6;2024/01/14;2124;Product_2124;1315
26;1114;2124;6;2023/09/07;2124;Product_2124;1315
27;1057;2060;5;2023/12/29;2060;Product_2060;103
28;1383;2063;2;2023/07/16;2063;Product_2063;794
29;1022;2051;3;2024/11/18;2051;Product_2051;529
30;1161;2061;3;2024/11/10;2061;Product_2061;1595
31;1146;2006;9;2024/12/14;2006;Product_2006;694
32;1095;2158;9;2023/02/22;2158;Product_2158;1690
33;1242;2064;9;2024/03/17;2064;Product_2064;742
34;1075;2115;6;2024/04/27;2115;Product_2115;1585
35;1139;2060;10;2024/10/22;2060;Product_2060;103
36;1128;2111;4;2025/01/23;2111;Product_2111;313
37;1303;2059;9;2024/07/05;2059;Product_2059;1278
38;1047;2133;3;2023/08/17;2133;Product_2133;75
39;1055;2005;5;2025/01/22;2005;Product_2005;1146
40;1252;2138;1;2024/04/30;2138;Product_2138;1203
41;1095;2046;10;2024/02/22;2046;Product_2046;619
42;1262;2119;8;2024/10/04;2119;Product_2119;541
43;1071;2068;1;2024/02/01;2068;Product_2068;1395
44;1338;2143;8;2023/10/07;2143;Product_2143;1956
45;1175;2076;2;2023/08/27;2076;Product_2076;861
46;1198;2017;7;2023/10/20;2017;Product_2017;1688
47;1196;2114;8;2023/06/18;2114;Product_2114;986
48;1008;2087;1;2025/01/31;2087;Product_2087;767
49;1236;2078;4;2023/12/12;2078;Product_2078;333
50;1335;2180;5;2023/04/09;2180;Product_2180;1880
51;1100;2177;9;2023/01/15;2177;Product_2177;1766
52;1366;2047;10;2023/04/07;2047;Product_2047;255
53;1314;2005;9;2024/12/25;2005;Product_2005;1146
54;1246;2183;9;2024/02/24;2183;Product_2183;215
55;1138;2073;6;2023/04/23;2073;Product_2073;355
56;1178;2172;2;2023/05/09;2172;Product_2172;445
57;1259;2182;1;2023/02/11;2182;Product_2182;991
58;1165;2103;1;2024/02/10;2103;Product_2103;1029
59;1110;2076;9;2023/01/28;2076;Product_2076;861
60;1160;2048;10;2024/11/27;2048;Product_2048;1270
61;1021;2167;4;2023/10/28;2167;Product_2167;61
62;1113;2083;1;2024/08/28;2083;Product_2083;1040
63;1047;2071;1;2024/11/06;2071;Product_2071;317
64;1289;2150;8;2023/12/12;2150;Product_2150;1500
65;1098;2153;6;2023/02/06;2153;Product_2153;656
66;1038;2119;5;2024/04/09;2119;Product_2119;541
67;1294;2070;1;2025/02/26;2070;Product_2070;1863
68;1148;2187;8;2024/03/02;2187;Product_2187;866
69;1167;2197;1;2024/05/19;2197;Product_2197;1222
70;1080;2040;10;2025/01/17;2040;Product_2040;1257
71;1281;2107;3;2023/06/06;2107;Product_2107;21
72;1301;2144;3;2023/06/24;2144;Product_2144;1284
73;1363;2138;8;2023/09/27;2138;Product_2138;1203
74;1112;2126;5;2024/02/11;2126;Product_2126;919
75;1046;2023;8;2024/05/25;2023;Product_2023;1465
76;1125;2097;9;2025/01/06;2097;Product_2097;521
77;1129;2178;4;2024/12/11;2178;Product_2178;1426
78;1145;2111;2;2024/09/18;2111;Product_2111;313
79;1090;2152;6;2023/12/20;2152;Product_2152;251
80;1118;2120;4;2023/05/22;2120;Product_2120;59
81;1110;2119;9;2024/05/30;2119;Product_2119;541
82;1324;2047;9;2023/11/25;2047;Product_2047;255
83;1307;2125;3;2024/10/18;2125;Product_2125;1552
84;1249;2199;5;2023/02/18;2199;Product_2199;1923
85;1369;2016;3;2025/01/14;2016;Product_2016;1105
86;1287;2021;6;2024/09/24;2021;Product_2021;657
87;1145;2056;9;2024/06/26;2056;Product_2056;1158
88;1263;2042;10;2023/05/14;2042;Product_2042;202
89;1050;2017;7;2024/12/09;2017;Product_2017;1688
90;1395;2166;8;2023/02/23;2166;Product_2166;1607
91;1080;2169;8;2023/10/27;2169;Product_2169;430
92;1281;2136;5;2023/04/30;2136;Product_2136;887
93;1119;2128;6;2024/02/26;2128;Product_2128;28
94;1019;2068;1;2025/02/26;2068;Product_2068;1395
95;1348;2090;8;2023/07/22;2090;Product_2090;1662
96;1153;2101;6;2023/12/24;2101;Product_2101;1847
97;1170;2011;4;2023/10/06;2011;Product_2011;881
98;1167;2126;5;2023/10/15;2126;Product_2126;919
99;1043;2124;8;2024/11/06;2124;Product_2124;1315
100;1334;2034;10;2023/04/27;2034;Product_2034;13
101;1264;2026;5;2023/05/14;2026;Product_2026;1299
102;1096;2012;1;2024/01/27;2012;Product_2012;129
103;1003;2030;6;2025/02/17;2030;Product_2030;225
104;1052;2040;1;2024/03/22;2040;Product_2040;1257
105;1339;2158;10;2024/01/24;2158;Product_2158;1690
106;1252;2167;5;2025/02/22;2167;Product_2167;61
107;1323;2129;3;2024/10/28;2129;Product_2129;1770
108;1290;2011;8;2025/01/07;2011;Product_2011;881
109;1338;2042;9;2024/05/17;2042;Product_2042;202
110;1331;2044;2;2023/07/17;2044;Product_2044;148
111;1308;2107;3;2023/12/23;2107;Product_2107;21
112;1078;2009;9;2024/07/09;2009;Product_2009;342
113;1395;2074;8;2024/10/09;2074;Product_2074;485
114;1281;2099;2;2024/09/10;2099;Product_2099;1674
115;1090;2158;9;2025/02/12;2158;Product_2158;1690
116;1044;2114;4;2023/08/31;2114;Product_2114;986
117;1367;2034;3;2024/05/24;2034;Product_2034;13
118;1047;2089;9;2023/09/25;2089;Product_2089;1466
119;1360;2085;10;2023/01/20;2085;Product_2085;574
120;1063;2057;4;2024/01/01;2057;Product_2057;1152
121;1211;2020;4;2025/02/11;2020;Product_2020;311
122;1237;2094;2;2025/02/27;2094;Product_2094;404
123;1309;2030;7;2024/11/24;2030;Product_2030;225
124;1372;2144;7;2023/07/08;2144;Product_2144;1284
125;1092;2029;3;2023/07/02;2029;Product_2029;964
126;1330;2169;5;2023/01/13;2169;Product_2169;430
127;1001;2190;5;2024/06/30;2190;Product_2190;1755
128;1362;2077;9;2024/08/22;2077;Product_2077;538
129;1319;2115;9;2023/09/19;2115;Product_2115;1585
